,alltottils,B-cells,DC,Macrophages,Exhausted CD8,T-cells,CD8 T cells,Neutrophils,Cytotoxic cells,Treg,NK CD56dim cells,Mast cells,NK cells,Th1 cells
TCGA.B1.A655.01A.11R.A31O.07,4.81736841,1.122141813,3.771423203,10.15026116,4.306365321,4.502729434,6.609850069,5.072970048,4.566877041,2.167871708,1.79320399,2.792714402,2.031830682,2.992641555
TCGA.B1.A656.01A.11R.A31O.07,6.608678834,4.720438187,6.15345929,11.15372724,6.502360822,6.808452227,6.920907608,4.50938089,8.013291515,5.316699683,3.880551745,5.508512681,4.58038771,6.235171776
TCGA.B1.A657.01A.11R.A31O.07,5.702967241,3.051446941,4.256411251,9.767030014,5.904961275,6.652135957,6.695366754,5.729914938,6.102603458,4.684420427,1.052291943,6.966309108,2.410834143,5.273665075
TCGA.B9.A5W7.01A.11R.A31O.07,4.536173756,1.426411971,1.258719301,9.202047257,4.36335312,4.765322757,4.502765886,5.951988055,4.930839976,2.963733046,1.146007332,9.550532668,1.119007308,3.584108654
TCGA.B9.A69E.01A.11R.A31O.07,6.102394054,2.15774128,3.158860312,9.857201786,6.646922571,6.701768617,7.91108161,5.331191824,6.843311304,5.336490493,3.127482085,5.706719141,3.083003311,4.959992662
TCGA.BQ.7055.01A.11R.1965.07,3.3831015,0.990961671,3.300033781,7.923412411,2.294539475,2.96601164,4.212229862,2.94277667,3.504550174,1.960919403,1.101625856,2.683384556,0.434945105,2.865780278
TCGA.G7.A4TM.01A.11R.A31O.07,4.927436825,3.89782847,3.730956006,8.56519243,4.756564303,5.369584626,6.085063381,4.034589091,5.190418088,3.798662312,1.518314739,10.35605579,1.550629696,4.143483217
TCGA.IZ.A6M8.01A.11R.A31O.07,4.734973577,1.082015777,3.491951504,10.46819107,5.333358834,4.643372426,5.865592376,4.768210465,4.968121827,2.020448863,1.630171853,6.076878116,1.397598626,3.657868623
TCGA.IZ.A6M9.01A.11R.A31O.07,4.551104272,1.8424782,3.004395348,8.676596405,4.217608355,5.122497058,5.447491528,5.281775491,5.473392882,3.090599412,1.372663926,9.806593969,1.123201776,3.891496958
TCGA.KV.A6GD.01A.11R.A31O.07,6.412334091,5.397281034,5.159684137,11.19398918,6.551239339,6.706546871,7.461246777,4.773805802,7.076899177,3.727985783,2.442713226,5.94731727,2.944207208,5.934290031
TCGA.KV.A6GE.01A.11R.A31O.07,5.314357621,2.903888007,3.400553466,8.438925737,5.422072156,6.336325912,6.214423656,4.116662531,6.495665967,3.201241771,1.7757436,9.722771892,2.383482124,5.782149045
TCGA.P4.A5E6.01A.11R.A28H.07,4.385776559,0.954110845,3.764608033,8.218360225,4.91580021,4.978532639,6.008842721,2.642791662,5.858331143,4.574973403,1.060126448,6.291974455,1.358097297,4.16304782
TCGA.P4.A5E7.01A.31R.A28H.07,4.628174993,2.37088121,3.074962466,8.745130565,5.079222617,4.804461318,4.905314268,4.922902848,4.878899823,3.935902861,1.452749175,7.884395103,0.624646141,3.992161139
TCGA.P4.A5E8.01A.11R.A28H.07,5.301489021,1.72715252,2.556328274,7.225098607,5.021406264,5.032068179,6.213291201,4.554731205,6.945743191,4.940147953,6.187877265,4.413995597,3.542128148,3.826477304
TCGA.P4.A5EA.01A.11R.A28H.07,7.58343646,8.649226062,7.598671923,9.427933022,7.198757006,9.320993852,9.556752524,4.317662443,8.896447823,8.06860364,3.018284221,9.673699575,4.184667885,7.093716505
TCGA.P4.A5ED.01A.11R.A28H.07,5.798482639,2.539318475,2.549302931,9.1110908,6.75278914,5.92995233,7.752554396,4.391962522,7.240083295,2.810278568,2.64603769,6.823808933,2.904332036,5.680906606
TCGA.Q2.A5QZ.01A.11R.A28H.07,4.151640311,1.403905302,2.777729549,8.394735048,5.153412311,4.239788436,4.987581055,2.781054881,5.358199491,2.710040466,1.856677717,3.264129428,1.982544923,3.843742705
TCGA.A4.A5XZ.01A.11R.A31O.07,4.524342845,1.320287692,3.197822499,9.992622123,4.615555858,4.581541494,4.630933401,3.753926199,4.962282125,3.1091265,1.4587205,5.34624816,1.158229795,3.991118175
TCGA.A4.7288.01A.11R.A32Z.07,2.75573625,0.456373603,2.500378645,8.253426258,2.296885548,2.185686235,2.102289829,2.737127812,2.529180125,2.316869805,0.351838188,5.691393008,0.244017358,1.728355919
TCGA.A4.7583.01A.11R.A32Z.07,5.776136266,1.677856668,2.161074718,8.488173453,5.899377529,6.819194785,6.706599624,5.207935119,6.881589166,5.390935896,2.53792244,7.000353158,3.220565517,5.641433314
TCGA.A4.7734.01A.11R.A32Z.07,4.743299231,3.007897021,3.982176841,9.208716327,4.335901794,5.21277199,5.374879033,4.255553394,4.82229065,2.719555842,1.355401723,6.817300521,1.647370542,3.200441577
TCGA.B1.7332.01A.11R.A32Z.07,4.264331138,1.045206862,3.818756247,9.044338215,4.469220955,4.814075416,5.892409765,3.439586181,4.539561452,3.488900567,0.886020854,6.875340925,1.993072349,2.48769214
TCGA.B9.7268.01A.11R.A32Z.07,2.772441611,0.921491319,0.696002455,7.781348416,2.346302251,2.107358446,2.198008637,3.086976964,2.552610986,2.758025955,0.632111574,4.667179067,0.750004202,0.39835037
TCGA.DW.7840.01A.11R.A32Z.07,4.824240859,1.371459614,2.556291927,7.903251789,5.130773866,5.62015442,6.726093357,3.777138521,6.488312825,2.234531977,1.477562347,8.729649387,0.88602265,4.732133499
TCGA.DW.7841.01A.11R.A32Z.07,6.626475834,3.75750548,3.35707634,9.277827774,6.814010134,8.408865982,7.17702923,6.201907868,7.416963667,5.178642943,2.816951293,10.49047861,2.793813563,6.983840695
TCGA.DW.7842.01A.11R.A32Z.07,2.82784624,0.221305594,2.198798491,7.263006605,2.904980691,2.719319203,2.667432854,2.190291574,2.591590459,1.656038663,0.883079485,7.037163166,0.436841998,1.490826815
TCGA.GL.7773.01A.11R.A32Z.07,4.77382048,2.225823015,2.829084189,7.518834888,4.51071881,5.071551677,5.393565789,6.183344669,5.405166157,3.643405999,1.291975053,6.650669774,1.507266054,4.569685512
