"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI37.TME.G03",1.82476769755652,1.82909547248653,0.00341756768591273
"ICP20th.L11.ICPKilo.ROI38.TME.G05",3.66086660159409,2.69985685609304,-0.439302285250555
"ICP20th.L11.ICPKilo.ROI39.TME.G07",2.52071942120433,2.0746661647147,-0.280956331616907
"ICP20th.L11.ICPKilo.ROI40.TME.G09",2.01871870465128,2.32528132687835,0.203965378441344
"ICP20th.L11.ICPKilo.ROI41.TME.G11",2.03048370732703,1.96028557429425,-0.0507596096879376
"ICP20th.L11.ICPKilo.ROI42.TME.H01",2.06907074297018,2.77632856390534,0.424195340611663
"ICP20th.L11.ICPKilo.ROI43.TME.H03",1.92082775028126,1.78468233919838,-0.106060843891391
"ICP20th.L11.ICPKilo.ROI44.TME.H05",2.0350381791075,2.34720579074741,0.20588847439997
"ICP20th.L11.ICPKilo.ROI45.TME.H07",3.73958289236113,3.31001115845362,-0.176041282436449
"ICP20th.L11.ICPKilo.ROI46.TME.H09",3.74160079389331,4.00661311679821,0.0987275682097946
"ICP20th.L11.ICPKilo.ROI47.TME.H11",3.86013368225845,2.59776105230335,-0.571382076397152
"ICP20th.L11.ICPKilo.ROI48.TME.A02",3.72312361256195,4.11510262318813,0.144414892948098
"ICP20th.L11.ICPKilo.ROI49.TME.A04",2.38652608350605,3.00885945069979,0.334304612941396
"ICP20th.L11.ICPKilo.ROI50.TME.A06",3.20005300633944,2.53880725893515,-0.333944929729348
"ICP20th.L11.ICPKilo.ROI51.TME.A08",2.15150754301662,1.56755099655278,-0.45683551981944
"ICP20th.L11.ICPKilo.ROI52.TME.A10",2.46909681008725,3.07649419739215,0.317303867666065
"ICP20th.L11.ICPKilo.ROI53.TME.A12",17.5418727985972,24.2278877215316,0.465865850234864
"ICP20th.L11.ICPKilo.ROI54.TME.B02",2.10861324562998,2.32700408734503,0.142179239432534
"ICP20th.L11.ICPKilo.ROI55.TME.B04",2.08915102827814,2.27336754719303,0.121914159996518
"ICP20th.L11.ICPKilo.ROI56.TME.B06",5.31352522204559,8.28360653310442,0.640589703085356
"ICP20th.L11.ICPKilo.ROI57.TME.B08",3.44576869909216,3.60446657080475,0.0649599067818953
"ICP20th.L11.ICPKilo.ROI58.TME.B10",3.15001940768009,2.03601581348248,-0.629611950581403
"ICP20th.L11.ICPKilo.ROI59.TME.B12",2.53194829191316,3.1741642008098,0.326128819321905
"ICP20th.L11.ICPKilo.ROI60.TME.C02",1.88443460599533,2.26184964147002,0.263371296843009
"ICP20th.L11.ICPKilo.ROI61.TME.C04",3.82346380479964,5.91193525459108,0.628750252958588
"ICP20th.L11.ICPKilo.ROI62.TME.C06",2.21373928687973,2.08357394264473,-0.0874250254024758
"ICP20th.L11.ICPKilo.ROI63.TME.C08",2.66707993402436,2.19326579755864,-0.28218040401898
"ICP20th.L11.ICPKilo.ROI64.TME.C10",19.4983891585297,18.5210883091071,-0.074186067350003
"ICP20th.L11.ICPKilo.ROI65.TME.C12",2.17785770396586,2.28067685434913,0.0665523529768424
"ICP20th.L11.ICPKilo.ROI66.TME.D02",5.54169103804153,8.34553940726278,0.590679020530196
"ICP20th.L11.ICPKilo.ROI67.TME.D04",12.2614791492939,11.6657624643797,-0.0718524236345188
"ICP20th.L11.ICPKilo.ROI68.TME.D06",4.30063699270185,5.94414003299504,0.466917741805592
"ICP20th.L11.ICPKilo.ROI69.TME.D08",4.09556284482955,3.21177230460181,-0.350692114068804
"ICP20th.L11.ICPKilo.ROI70.TME.D10",2.39912284129378,0.913091589507024,-1.26250702923958
