"","yhat","obs","resid"
"ICP20th.L11.ICPKilo.ROI78.TME.F02",92.7530033910759,64.5770579578823,-0.522372282471316
"ICP20th.L11.ICPKilo.ROI79.TME.F04",78.6894852532818,61.2037504593083,-0.362550809507453
"ICP20th.L11.ICPKilo.ROI80.TME.F06",114.036181580401,113.418937068113,-0.00783009666356715
"ICP20th.L11.ICPKilo.ROI81.TME.F08",98.2215967326976,86.3985224733523,-0.185033635151772
"ICP20th.L11.ICPKilo.ROI82.TME.F10",249.121344468111,252.855170925022,0.0214626465449621
"ICP20th.L11.ICPKilo.ROI83.TME.F12",228.756040456019,285.644065910589,0.320408719856716
"ICP20th.L11.ICPKilo.ROI84.TME.G02",169.718089787587,182.714267420744,0.106448946605386
"ICP20th.L11.ICPKilo.ROI85.TME.G04",140.796205408098,141.132558002489,0.00344239051224271
"ICP20th.L11.ICPKilo.ROI86.TME.G06",30.6905177214549,32.3285580004259,0.0750161752113492
"ICP20th.L11.ICPKilo.ROI87.TME.G08",58.0469520142887,47.3192549820251,-0.294792955302304
"ICP20th.L11.ICPKilo.ROI88.TME.G10",96.4979101999076,111.627181499752,0.210118765610484
"ICP20th.L11.ICPKilo.ROI89.TME.G12",115.933104477671,71.3622594171447,-0.700059385401669
"ICP20th.L11.ICPKilo.ROI90.TME.H02",296.099485175983,236.328389606853,-0.32528903463686
"ICP20th.L11.ICPKilo.ROI91.TME.H04",87.3823584787468,93.6449420141931,0.0998590280620544
"ICP20th.L11.ICPKilo.ROI92.TME.H06",159.492847787743,127.632251349308,-0.321498800713853
"ICP20th.L11.ICPKilo.ROI93.TME.H08",90.6387226337678,82.2412542044054,-0.140265263242242
"ICP20th.L11.ICPKilo.ROI94.TME.H10",88.3874355019642,85.8096054131326,-0.0427021513055124
"ICP20th.L11.ICPKilo.ROI95.TME.H12",172.11819180179,230.098828148115,0.418854047037415
"ICP20th.L11.ICPKilo.ROI96.TME.A03",128.571291280608,210.180595611154,0.709060943449371
"ICP20th.L11.ICPKilo.ROI97.TME.A05",172.762931188303,216.176988269771,0.323419259027672
"ICP20th.L11.ICPKilo.ROI99.TME.A09",43.5292204611323,53.1772655966931,0.28882541096431
