"","x"
"938","RRAD"
"939","RRM2"
"940","RSAD2"
"941","RTN1"
"942","RUNX3"
"943","RXFP1"
"944","RXFP2"
"945","RYR1"
"946","S100A12"
"947","S100A8"
"948","S100A9"
"949","S100B"
"950","S1PR3"
"951","S1PR5"
"952","SAMD3"
"953","SAMD9"
"954","SAMSN1"
"955","SARDH"
"956","SCARA5"
"957","SCARF1"
"958","SCN9A"
"959","SCT"
"960","SDS"
"961","SELE"
"962","SELL"
"963","SERPINB2"
"964","SERPINE1"
"965","SERPINF1"
"966","SERPING1"
"967","SETBP1"
"968","SEZ6L"
"969","SFRP2"
"970","SFRP5"
"971","SFTPD"
"972","SGCD"
"973","SGK1"
"974","SH2D1A"
"975","SH2D1B"
"976","SHD"
"977","SIGLEC1"
"978","SIGLEC15"
"979","SIGLEC5"
"980","SIRPG"
"981","SIT1"
"982","SKAP1"
"983","SLAMF1"
"984","SLAMF6"
"985","SLAMF8"
"986","SLC12A1"
"987","SLC12A3"
"988","SLC15A3"
"989","SLC16A10"
"990","SLC17A3"
"991","SLC18A2"
"992","SLC1A3"
"993","SLC1A7"
"994","SLC24A4"
"995","SLC2A6"
"996","SLC2A9"
"997","SLC35F3"
"998","SLC37A2"
"999","SLC38A11"
"1000","SLC46A2"
"1001","SLC4A10"
"1002","SLC7A10"
"1003","SLC7A11"
"1004","SLC7A3"
"1005","SLC7A5"
"1006","SLC8A3"
"1007","SLCO2B1"
"1008","SLCO4C1"
"1009","SLCO5A1"
"1010","SLFN13"
"1011","SLPI"
"1012","SNAI1"
"1013","SNCA"
"1014","SOAT2"
"1015","SOCS1"
"1016","SORBS2"
"1017","SORCS3"
"1018","SOST"
"1019","SOX5"
"1020","SP140"
"1021","SPIB"
"1022","SPINK5"
"1023","SPOCK2"
"1024","SPON2"
"1025","SPP1"
"1026","SPRY1"
"1027","SRPX"
"1028","SRPX2"
"1029","SSPN"
"1030","SSTR3"
"1031","SSX1"
"1032","ST3GAL6"
"1033","ST6GAL1"
"1034","ST6GAL2"
"1035","ST6GALNAC1"
"1036","ST8SIA1"
"1037","STAB1"
"1038","STAP1"
"1039","STEAP4"
"1040","STXBP6"
"1041","STYK1"
"1042","SULT1C4"
"1043","SYBU"
"1044","SYN3"
"1045","SYNM"
"1046","SYNPO"
"1047","SYT17"
"1048","TACSTD2"
"1049","TAS1R3"
"1050","TBX21"
"1051","TBXAS1"
"1052","TCL1A"
"1053","TCL1B"
"1054","TCL6"
"1055","TCN1"
"1056","TCTEX1D1"
"1057","TDRD6"
"1058","TEK"
"1059","TEX101"
"1060","TFCP2L1"
"1061","TFPI"
"1062","TGFBR2"
"1063","TGM3"
"1064","TGM5"
"1065","THBD"
"1066","THBS1"
"1067","THBS2"
"1068","THEM5"
"1069","THEMIS"
"1070","THSD7A"
"1071","THY1"
"1072","TIAM1"
"1073","TIE1"
"1074","TIGIT"
"1075","TIMD4"
"1076","TIMP3"
"1077","TLR1"
"1078","TLR10"
"1079","TLR2"
"1080","TLR3"
"1081","TLR4"
"1082","TLR7"
"1083","TLR8"
"1084","TM4SF1"
"1085","TMEM108"
"1086","TMEM150B"
"1087","TMEM156"
"1088","TMEM171"
"1089","TMEM176A"
"1090","TMEM176B"
"1091","TMIE"
"1092","TMIGD2"
"1093","TMTC1"
"1094","TNC"
"1095","TNFAIP6"
"1096","TNFRSF11A"
"1097","TNFRSF11B"
"1098","TNFRSF13B"
"1099","TNFRSF17"
"1100","TNFRSF4"
"1101","TNFRSF8"
"1102","TNFSF14"
"1103","TNFSF15"
"1104","TNFSF4"
"1105","TNFSF9"
"1106","TNIP3"
"1107","TNXB"
"1108","TPM2"
"1109","TPPP3"
"1110","TPRG1"
"1111","TPSAB1"
"1112","TPSB2"
"1113","TPSD1"
"1114","TRAT1"
"1115","TREM1"
"1116","TREM2"
"1117","TREML2"
"1118","TRIM64"
"1119","TRPM6"
"1120","TSHR"
"1121","TSHZ2"
"1122","TSPAN18"
"1123","TSPAN7"
"1124","TTC16"
"1125","TWIST2"
"1126","TXK"
"1127","TYR"
"1128","UBASH3A"
"1129","UBD"
"1130","UGT1A8"
"1131","UGT2B11"
"1132","UGT8"
"1133","UNC13C"
"1134","UNC45B"
"1135","UPK3A"
"1136","USHBP1"
"1137","UTY"
"1138","VCAM1"
"1139","VCAN"
"1140","VEGFC"
"1141","VILL"
"1142","VIT"
"1143","VMO1"
"1144","VNN1"
"1145","VNN2"
"1146","VNN3"
"1147","VPREB3"
"1148","VSIG4"
"1149","WDR63"
"1150","WIF1"
"1151","WNT16"
"1152","WNT2"
"1153","WNT5A"
"1154","WNT5B"
"1155","WNT7A"
"1156","XCL1"
"1157","XCL2"
"1158","XCR1"
"1159","XKRX"
"1160","ZAP70"
"1161","ZBED2"
"1162","ZBP1"
"1163","ZBTB16"
"1164","ZBTB32"
"1165","ZC3H12D"
"1166","ZEB2"
"1167","ZMAT4"
"1168","ZMYND15"
"1169","ZNF135"
"1170","ZNF365"
"1171","ZNF366"
"1172","ZNF385D"
"1173","ZNF391"
"1174","ZNF442"
"1175","ZNF556"
"1176","ZNF683"
"1177","ZNF80"
"1178","ZNF831"
"1179","ZNF860"
